2019-08-28 16:06:52,643 ERROR BasicPlanAgentImpl:165 last activity of person driver agent id 11 has end time < infty; setting it to infty
2019-08-28 16:06:52,644 ERROR BasicPlanAgentImpl:166  This message given only once.
2019-08-28 16:06:53,571  WARN CharyparNagelActivityScoring:252 The first and the last activity do not have the same type. 
2019-08-28 16:06:53,587  WARN CharyparNagelActivityScoring:253 Will score the first activity from midnight to its end, and the last activity from its start to midnight.
2019-08-28 16:06:53,591  WARN CharyparNagelActivityScoring:254 Because of the nonlinear function, this is not the same as scoring from start to end.
2019-08-28 16:06:53,594  WARN CharyparNagelActivityScoring:255 first activity: [type=home][coord=null][linkId=6413][startTime=undefined][endTime=07:00:00][duration=undefined][facilityId=null]
2019-08-28 16:06:53,596  WARN CharyparNagelActivityScoring:256 last activity: [type=shelter][coord=null][linkId=21166][startTime=08:36:54][endTime=undefined][duration=undefined][facilityId=null]
2019-08-28 16:06:53,596  WARN CharyparNagelActivityScoring:257 This may also happen when plans are not completed when the simulation ends.
2019-08-28 16:06:53,597  WARN CharyparNagelActivityScoring:259 Additional warnings of this type are suppressed.
2019-08-28 16:06:58,294  WARN CharyparNagelActivityScoring:252 The first and the last activity do not have the same type. 
2019-08-28 16:06:58,294  WARN CharyparNagelActivityScoring:253 Will score the first activity from midnight to its end, and the last activity from its start to midnight.
2019-08-28 16:06:58,294  WARN CharyparNagelActivityScoring:254 Because of the nonlinear function, this is not the same as scoring from start to end.
2019-08-28 16:06:58,294  WARN CharyparNagelActivityScoring:255 first activity: [type=home][coord=null][linkId=6413][startTime=undefined][endTime=07:00:00][duration=undefined][facilityId=null]
2019-08-28 16:06:58,295  WARN CharyparNagelActivityScoring:256 last activity: [type=shelter][coord=null][linkId=21166][startTime=08:36:54][endTime=undefined][duration=undefined][facilityId=null]
2019-08-28 16:06:58,295  WARN CharyparNagelActivityScoring:257 This may also happen when plans are not completed when the simulation ends.
2019-08-28 16:06:58,296  WARN CharyparNagelActivityScoring:259 Additional warnings of this type are suppressed.
2019-08-28 16:07:00,802  WARN CharyparNagelActivityScoring:252 The first and the last activity do not have the same type. 
2019-08-28 16:07:00,802  WARN CharyparNagelActivityScoring:253 Will score the first activity from midnight to its end, and the last activity from its start to midnight.
2019-08-28 16:07:00,802  WARN CharyparNagelActivityScoring:254 Because of the nonlinear function, this is not the same as scoring from start to end.
2019-08-28 16:07:00,803  WARN CharyparNagelActivityScoring:255 first activity: [type=home][coord=null][linkId=6413][startTime=undefined][endTime=07:00:00][duration=undefined][facilityId=null]
2019-08-28 16:07:00,803  WARN CharyparNagelActivityScoring:256 last activity: [type=shelter][coord=null][linkId=21166][startTime=08:36:54][endTime=undefined][duration=undefined][facilityId=null]
2019-08-28 16:07:00,803  WARN CharyparNagelActivityScoring:257 This may also happen when plans are not completed when the simulation ends.
2019-08-28 16:07:00,803  WARN CharyparNagelActivityScoring:259 Additional warnings of this type are suppressed.
2019-08-28 16:07:02,751  WARN CharyparNagelActivityScoring:252 The first and the last activity do not have the same type. 
2019-08-28 16:07:02,751  WARN CharyparNagelActivityScoring:253 Will score the first activity from midnight to its end, and the last activity from its start to midnight.
2019-08-28 16:07:02,751  WARN CharyparNagelActivityScoring:254 Because of the nonlinear function, this is not the same as scoring from start to end.
2019-08-28 16:07:02,751  WARN CharyparNagelActivityScoring:255 first activity: [type=home][coord=null][linkId=6413][startTime=undefined][endTime=07:00:00][duration=undefined][facilityId=null]
2019-08-28 16:07:02,752  WARN CharyparNagelActivityScoring:256 last activity: [type=shelter][coord=null][linkId=21166][startTime=08:36:54][endTime=undefined][duration=undefined][facilityId=null]
2019-08-28 16:07:02,752  WARN CharyparNagelActivityScoring:257 This may also happen when plans are not completed when the simulation ends.
2019-08-28 16:07:02,752  WARN CharyparNagelActivityScoring:259 Additional warnings of this type are suppressed.
2019-08-28 16:07:04,293  WARN CharyparNagelActivityScoring:252 The first and the last activity do not have the same type. 
2019-08-28 16:07:04,293  WARN CharyparNagelActivityScoring:253 Will score the first activity from midnight to its end, and the last activity from its start to midnight.
2019-08-28 16:07:04,293  WARN CharyparNagelActivityScoring:254 Because of the nonlinear function, this is not the same as scoring from start to end.
2019-08-28 16:07:04,293  WARN CharyparNagelActivityScoring:255 first activity: [type=home][coord=null][linkId=6413][startTime=undefined][endTime=07:00:00][duration=undefined][facilityId=null]
2019-08-28 16:07:04,293  WARN CharyparNagelActivityScoring:256 last activity: [type=shelter][coord=null][linkId=21166][startTime=08:36:54][endTime=undefined][duration=undefined][facilityId=null]
2019-08-28 16:07:04,293  WARN CharyparNagelActivityScoring:257 This may also happen when plans are not completed when the simulation ends.
2019-08-28 16:07:04,293  WARN CharyparNagelActivityScoring:259 Additional warnings of this type are suppressed.
2019-08-28 16:07:05,865  WARN CharyparNagelActivityScoring:252 The first and the last activity do not have the same type. 
2019-08-28 16:07:05,865  WARN CharyparNagelActivityScoring:253 Will score the first activity from midnight to its end, and the last activity from its start to midnight.
2019-08-28 16:07:05,865  WARN CharyparNagelActivityScoring:254 Because of the nonlinear function, this is not the same as scoring from start to end.
2019-08-28 16:07:05,865  WARN CharyparNagelActivityScoring:255 first activity: [type=home][coord=null][linkId=6413][startTime=undefined][endTime=07:00:00][duration=undefined][facilityId=null]
2019-08-28 16:07:05,865  WARN CharyparNagelActivityScoring:256 last activity: [type=shelter][coord=null][linkId=21166][startTime=08:36:54][endTime=undefined][duration=undefined][facilityId=null]
2019-08-28 16:07:05,865  WARN CharyparNagelActivityScoring:257 This may also happen when plans are not completed when the simulation ends.
2019-08-28 16:07:05,865  WARN CharyparNagelActivityScoring:259 Additional warnings of this type are suppressed.
