2019-08-31 10:40:09,709 ERROR BasicPlanAgentImpl:165 last activity of person driver agent id 991229711010199 has end time < infty; setting it to infty
2019-08-31 10:40:09,710 ERROR BasicPlanAgentImpl:166  This message given only once.
2019-08-31 10:40:12,733  WARN CharyparNagelActivityScoring:252 The first and the last activity do not have the same type. 
2019-08-31 10:40:12,735  WARN CharyparNagelActivityScoring:253 Will score the first activity from midnight to its end, and the last activity from its start to midnight.
2019-08-31 10:40:12,735  WARN CharyparNagelActivityScoring:254 Because of the nonlinear function, this is not the same as scoring from start to end.
2019-08-31 10:40:12,737  WARN CharyparNagelActivityScoring:255 first activity: [type=home][coord=null][linkId=28625][startTime=undefined][endTime=07:00:00][duration=undefined][facilityId=null]
2019-08-31 10:40:12,739  WARN CharyparNagelActivityScoring:256 last activity: [type=shelter][coord=null][linkId=25696][startTime=08:35:29][endTime=undefined][duration=undefined][facilityId=null]
2019-08-31 10:40:12,739  WARN CharyparNagelActivityScoring:257 This may also happen when plans are not completed when the simulation ends.
2019-08-31 10:40:12,744  WARN CharyparNagelActivityScoring:259 Additional warnings of this type are suppressed.
2019-08-31 10:40:23,796  WARN CharyparNagelActivityScoring:252 The first and the last activity do not have the same type. 
2019-08-31 10:40:23,796  WARN CharyparNagelActivityScoring:253 Will score the first activity from midnight to its end, and the last activity from its start to midnight.
2019-08-31 10:40:23,796  WARN CharyparNagelActivityScoring:254 Because of the nonlinear function, this is not the same as scoring from start to end.
2019-08-31 10:40:23,797  WARN CharyparNagelActivityScoring:255 first activity: [type=home][coord=null][linkId=28625][startTime=undefined][endTime=07:00:00][duration=undefined][facilityId=null]
2019-08-31 10:40:23,797  WARN CharyparNagelActivityScoring:256 last activity: [type=shelter][coord=null][linkId=25696][startTime=08:35:29][endTime=undefined][duration=undefined][facilityId=null]
2019-08-31 10:40:23,797  WARN CharyparNagelActivityScoring:257 This may also happen when plans are not completed when the simulation ends.
2019-08-31 10:40:23,797  WARN CharyparNagelActivityScoring:259 Additional warnings of this type are suppressed.
2019-08-31 10:40:28,633  WARN CharyparNagelActivityScoring:252 The first and the last activity do not have the same type. 
2019-08-31 10:40:28,633  WARN CharyparNagelActivityScoring:253 Will score the first activity from midnight to its end, and the last activity from its start to midnight.
2019-08-31 10:40:28,634  WARN CharyparNagelActivityScoring:254 Because of the nonlinear function, this is not the same as scoring from start to end.
2019-08-31 10:40:28,634  WARN CharyparNagelActivityScoring:255 first activity: [type=home][coord=null][linkId=28625][startTime=undefined][endTime=07:00:00][duration=undefined][facilityId=null]
2019-08-31 10:40:28,634  WARN CharyparNagelActivityScoring:256 last activity: [type=shelter][coord=null][linkId=25696][startTime=08:35:29][endTime=undefined][duration=undefined][facilityId=null]
2019-08-31 10:40:28,634  WARN CharyparNagelActivityScoring:257 This may also happen when plans are not completed when the simulation ends.
2019-08-31 10:40:28,635  WARN CharyparNagelActivityScoring:259 Additional warnings of this type are suppressed.
2019-08-31 10:40:32,587  WARN CharyparNagelActivityScoring:252 The first and the last activity do not have the same type. 
2019-08-31 10:40:32,588  WARN CharyparNagelActivityScoring:253 Will score the first activity from midnight to its end, and the last activity from its start to midnight.
2019-08-31 10:40:32,588  WARN CharyparNagelActivityScoring:254 Because of the nonlinear function, this is not the same as scoring from start to end.
2019-08-31 10:40:32,589  WARN CharyparNagelActivityScoring:255 first activity: [type=home][coord=null][linkId=28625][startTime=undefined][endTime=07:00:00][duration=undefined][facilityId=null]
2019-08-31 10:40:32,589  WARN CharyparNagelActivityScoring:256 last activity: [type=shelter][coord=null][linkId=25696][startTime=08:35:29][endTime=undefined][duration=undefined][facilityId=null]
2019-08-31 10:40:32,589  WARN CharyparNagelActivityScoring:257 This may also happen when plans are not completed when the simulation ends.
2019-08-31 10:40:32,590  WARN CharyparNagelActivityScoring:259 Additional warnings of this type are suppressed.
2019-08-31 10:40:36,643  WARN CharyparNagelActivityScoring:252 The first and the last activity do not have the same type. 
2019-08-31 10:40:36,643  WARN CharyparNagelActivityScoring:253 Will score the first activity from midnight to its end, and the last activity from its start to midnight.
